 written on 20Jun2021 at 09:09:34 
           6
          21
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2
    0    0  -10    1    1   -0.007291   -0.000000
    0    0  -10    2    1    0.000189   -0.000001
    0    0  -10    3    1    0.043413   -0.000478
    0    0  -10    4    1   -0.000077    0.000000
    0    0  -10    5    1   -0.007280   -0.000007
    0    0  -10    6    1    0.000047    0.000000
    0    0  -10    1    2    0.000189    0.000001
    0    0  -10    2    2   -0.008751   -0.000000
    0    0  -10    3    2    0.000001   -0.000001
    0    0  -10    4    2    0.006100   -0.000004
    0    0  -10    5    2   -0.000188   -0.000001
    0    0  -10    6    2   -0.004031   -0.000039
    0    0  -10    1    3    0.043413    0.000478
    0    0  -10    2    3    0.000001    0.000001
    0    0  -10    3    3   -0.012942    0.000000
    0    0  -10    4    3    0.000014    0.000000
    0    0  -10    5    3    0.043414    0.000519
    0    0  -10    6    3    0.000010    0.000000
    0    0  -10    1    4   -0.000077   -0.000000
    0    0  -10    2    4    0.006100    0.000004
    0    0  -10    3    4    0.000014   -0.000000
    0    0  -10    4    4   -0.003803   -0.000000
    0    0  -10    5    4    0.000077    0.000000
    0    0  -10    6    4    0.002526    0.000026
    0    0  -10    1    5   -0.007280    0.000007
    0    0  -10    2    5   -0.000188    0.000001
    0    0  -10    3    5    0.043414   -0.000519
    0    0  -10    4    5    0.000077   -0.000000
    0    0  -10    5    5   -0.007291   -0.000000
    0    0  -10    6    5   -0.000047   -0.000000
    0    0  -10    1    6    0.000047   -0.000000
    0    0  -10    2    6   -0.004031    0.000039
    0    0  -10    3    6    0.000010   -0.000000
    0    0  -10    4    6    0.002526   -0.000026
    0    0  -10    5    6   -0.000047    0.000000
    0    0  -10    6    6   -0.001659   -0.000000
    0    0   -9    1    1   -0.001884   -0.000000
    0    0   -9    2    1    0.000052    0.000000
    0    0   -9    3    1    0.043420   -0.000478
    0    0   -9    4    1   -0.000077    0.000000
    0    0   -9    5    1   -0.001884   -0.000002
    0    0   -9    6    1    0.000047    0.000000
    0    0   -9    1    2    0.000052   -0.000000
    0    0   -9    2    2   -0.006441    0.000000
