 written on 15Jun2021 at 22:00:36 
   20.0000000000000       0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000   20.0000000000000       0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000   2.56598541000000     
           4
          41
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2

    0    0  -20
    1    1    0.92121676E-03  0.10297233E-15
    2    1    0.16618252E-04  0.42821966E-06
    3    1   -0.66603045E-03  0.82017672E-06
    4    1   -0.18368658E-03 -0.91777553E-05
    1    2    0.16618252E-04 -0.42821966E-06
    2    2    0.22345519E-02 -0.65025054E-16
    3    2    0.64594635E-05  0.65598081E-06
    4    2   -0.14481095E-01  0.10746515E-04
    1    3   -0.66603045E-03 -0.82017672E-06
    2    3    0.64594635E-05 -0.65598081E-06
    3    3    0.11967131E-02  0.85774024E-16
    4    3    0.81230613E-05 -0.82760531E-06
    1    4   -0.18368658E-03  0.91777553E-05
    2    4   -0.14481095E-01 -0.10746515E-04
    3    4    0.81230613E-05  0.82760531E-06
    4    4   -0.58713354E-03  0.38576688E-15

    0    0  -19
    1    1   -0.11085313E-03 -0.15284287E-07
    2    1    0.54199072E-05 -0.63426476E-06
    3    1   -0.66602678E-03  0.79481765E-06
    4    1   -0.18298734E-03  0.14965684E-07
    1    2    0.55157501E-05 -0.89212236E-06
    2    2    0.29649845E-03  0.54034246E-08
    3    2    0.65785419E-05 -0.10169738E-05
    4    2   -0.14481866E-01  0.98122316E-05
    1    3    0.65708467E-03  0.78290301E-06
    2    3   -0.76144038E-05 -0.15663739E-05
    3    3   -0.16470530E-03  0.82154041E-08
    4    3    0.36722707E-05  0.13154107E-04
    1    4    0.14483995E-03  0.17729464E-05
    2    4    0.11525495E-01  0.76243481E-05
    3    4    0.20154643E-05  0.13201010E-04
    4    4   -0.11008873E-02  0.13926420E-07

    0    0  -18
    1    1   -0.50054815E-03  0.45983779E-10
    2    1   -0.20796771E-04 -0.55646230E-06
    3    1    0.65708861E-03 -0.82503426E-06
    4    1    0.14567408E-03  0.91265538E-05
    1    2   -0.20792892E-04  0.49824387E-06
    2    2   -0.21876819E-02 -0.30523433E-08
    3    2   -0.74240675E-05 -0.11779007E-05
    4    2    0.11524571E-01 -0.87355548E-05
    1    3    0.18886388E-03  0.21814152E-06
    2    3   -0.64895215E-07  0.63282313E-06
    3    3   -0.63352032E-03  0.45251244E-08
    4    3   -0.10256143E-04  0.37073056E-05
    1    4    0.22276634E-03 -0.88790054E-05
    2    4    0.17274260E-01  0.12631001E-04
    3    4   -0.10620946E-04  0.21269681E-05
    4    4    0.23767070E-03  0.45610996E-09

    0    0  -17
    1    1   -0.11523806E-03  0.54766503E-08
    2    1   -0.11739717E-04  0.90062136E-07
    3    1    0.18886316E-03 -0.19896421E-06
    4    1    0.22224470E-03  0.21228750E-05
    1    2   -0.11784720E-04  0.64078231E-06
    2    2   -0.90176426E-03  0.23610986E-08
    3    2   -0.15893679E-06  0.69571483E-06
    4    2    0.17274871E-01 -0.11893982E-04
    1    3    0.42617001E-03  0.55914829E-06
    2    3   -0.29209033E-05  0.18429345E-05
    3    3   -0.10393787E-03 -0.97481926E-08
    4    3   -0.75668195E-05 -0.13343809E-04
    1    4   -0.10776854E-03 -0.33705920E-05
    2    4   -0.82322038E-02 -0.52023944E-05
    3    4   -0.58845399E-05 -0.13562131E-04
    4    4    0.33532607E-02 -0.10714954E-07

    0    0  -16
    1    1   -0.44072717E-03  0.87814950E-08
    2    1    0.29771932E-04  0.11403666E-05
    3    1    0.42616658E-03 -0.49929716E-06
    4    1   -0.10872413E-03 -0.89221469E-05
    1    2    0.29715657E-04 -0.33920414E-06
    2    2    0.20368517E-02 -0.46013546E-09
    3    2   -0.31811309E-05  0.20099993E-05
    4    2   -0.82311273E-02  0.64821580E-05
    1    3   -0.25710714E-03 -0.29734196E-06
    2    3   -0.84861996E-06 -0.91087062E-06
    3    3   -0.62292891E-03 -0.82684243E-08
    4    3    0.15566264E-04 -0.64542955E-05
    1    4   -0.26067135E-03  0.81234831E-05
    2    4   -0.20044623E-01 -0.14488425E-04
    3    4    0.16280311E-04 -0.50513461E-05
    4    4    0.88525844E-03 -0.34290520E-08

    0    0  -15
    1    1    0.14982554E-02  0.81344667E-08
    2    1    0.60226700E-05  0.31164587E-06
    3    1   -0.25711320E-03  0.27094315E-06
    4    1   -0.26038216E-03 -0.46920908E-05
    1    2    0.59990346E-05  0.43756503E-07
    2    2    0.15442852E-02 -0.12801312E-07
    3    2   -0.72082788E-06 -0.95241798E-06
    4    2   -0.20045059E-01  0.13976982E-04
    1    3   -0.24706619E-02 -0.30795188E-05
    2    3    0.24090614E-04 -0.13901722E-05
    3    3    0.19116137E-02  0.12811081E-07
    4    3    0.62411782E-05  0.13410070E-04
    1    4    0.68874351E-04  0.51723772E-05
    2    4    0.43504691E-02  0.23444801E-05
    3    4    0.45427562E-05  0.14014843E-04
    4    4   -0.57673669E-02  0.53541191E-08

    0    0  -14
    1    1    0.10490744E-02 -0.31991997E-07
    2    1   -0.34197320E-04 -0.21742820E-05
    3    1   -0.24706596E-02  0.30132344E-05
    4    1    0.69987806E-04  0.87891821E-05
    1    2   -0.34006671E-04 -0.49515671E-06
    2    2   -0.17445500E-02  0.14890241E-07
    3    2    0.24354470E-04 -0.26452810E-05
    4    2    0.43492252E-02 -0.38071227E-05
    1    3    0.19454670E-02  0.23816164E-05
    2    3   -0.14856144E-04  0.96167852E-06
    3    3    0.14215427E-02  0.11571365E-07
    4    3   -0.21205600E-04  0.91932513E-05
    1    4    0.29574907E-03 -0.69418201E-05
    2    4    0.22929301E-01  0.16384665E-04
    3    4   -0.22251952E-04  0.79581631E-05
    4    4   -0.30387441E-02  0.10303987E-07

    0    0  -13
    1    1   -0.42686268E-02 -0.14775960E-07
    2    1    0.13825494E-04 -0.89351115E-07
    3    1    0.19454808E-02 -0.23414875E-05
    4    1    0.29576924E-03  0.76271569E-05
    1    2    0.13885606E-04 -0.78307689E-06
    2    2   -0.22527372E-02  0.17686201E-07
    3    2   -0.15050886E-04  0.18227279E-05
    4    2    0.22929522E-01 -0.16152556E-04
    1    3    0.46493153E-02  0.57387867E-05
    2    3   -0.47390705E-04 -0.78246738E-07
    3    3   -0.55416044E-02 -0.16575729E-07
    4    3    0.12367975E-05 -0.12744498E-04
    1    4   -0.20408640E-04 -0.77439555E-05
    2    4    0.53777604E-03  0.12196773E-05
    3    4    0.28942028E-05 -0.14021718E-04
    4    4    0.84832562E-02  0.14251266E-09

    0    0  -12
    1    1   -0.19882543E-03  0.71463553E-07
    2    1    0.21282341E-04  0.34352566E-05
    3    1    0.46493127E-02 -0.56902433E-05
    4    1   -0.21735681E-04 -0.89697542E-05
    1    2    0.20873757E-04  0.23910249E-05
    2    2    0.12272722E-02 -0.41085486E-07
    3    2   -0.47536723E-04  0.23749762E-05
    4    2    0.53921035E-03  0.44397554E-06
    1    3   -0.60154448E-02 -0.73937639E-05
    2    3    0.55155545E-04 -0.15241231E-06
    3    3   -0.25248574E-03 -0.14598912E-07
    4    3    0.22832521E-04 -0.12133572E-04
    1    4   -0.32778842E-03  0.51923179E-05
    2    4   -0.26093556E-01 -0.18461628E-04
    3    4    0.24243307E-04 -0.10906964E-04
    4    4    0.68028694E-02 -0.21547757E-07

    0    0  -11
    1    1    0.80911995E-02  0.39662751E-08
    2    1   -0.43975374E-04 -0.10433005E-05
    3    1   -0.60154687E-02  0.73453619E-05
    4    1   -0.32818892E-03 -0.11121033E-04
    1    2   -0.43980243E-04  0.11021485E-05
    2    2    0.30622192E-02 -0.91742834E-08
    3    2    0.55382036E-04 -0.30672554E-05
    4    2   -0.26093501E-01  0.18579405E-04
    1    3   -0.56229262E-02 -0.68610337E-05
    2    3    0.59452124E-04  0.25144933E-05
    3    3    0.10489666E-01  0.21515304E-07
    4    3   -0.14311731E-04  0.10997730E-04
    1    4   -0.50487442E-04  0.11409704E-04
    2    4   -0.72208613E-02 -0.60906630E-05
    3    4   -0.15796848E-04  0.13242857E-04
    4    4   -0.11703004E-01 -0.41764037E-08

    0    0  -10
    1    1   -0.32600464E-02 -0.12368411E-06
    2    1    0.22776238E-04 -0.44213420E-05
    3    1   -0.56229254E-02  0.68616228E-05
    4    1   -0.48857425E-04  0.92153689E-05
    1    2    0.23471200E-04 -0.55140905E-05
    2    2   -0.28839619E-03  0.75067530E-07
    3    2    0.59311122E-04 -0.57182762E-06
    4    2   -0.72225299E-02  0.41919923E-05
    1    3    0.12835600E-01  0.15745868E-04
    2    3   -0.12365253E-03 -0.23477226E-05
    3    3   -0.44074798E-02  0.18114923E-07
    4    3   -0.17095768E-04  0.16285718E-04
    1    4    0.36032507E-03 -0.29560027E-05
    2    4    0.29779236E-01  0.20830727E-04
    3    4   -0.18993533E-04  0.14751631E-04
    4    4   -0.13467918E-01  0.36720251E-07

    0    0   -9
    1    1   -0.12250378E-01  0.35569022E-07
    2    1    0.76746962E-04  0.33337177E-05
    3    1    0.12835635E-01 -0.15712435E-04
    4    1    0.36121804E-03  0.15300732E-04
    1    2    0.76557335E-04 -0.39173827E-06
    2    2   -0.40036445E-02 -0.21174458E-07
    3    2   -0.12378780E-03  0.40380374E-05
    4    2    0.29778804E-01 -0.21418730E-04
    1    3    0.37685603E-02  0.44133943E-05
    2    3   -0.44904727E-04 -0.60455588E-05
    3    3   -0.15684105E-01 -0.31099937E-07
    4    3    0.31094852E-04 -0.72788356E-05
    1    4    0.16719013E-03 -0.17069907E-04
    2    4    0.17428789E-01  0.13471930E-04
    3    4    0.32201717E-04 -0.10826521E-04
    4    4    0.15741057E-01  0.66388516E-08

    0    0   -8
    1    1    0.10618131E-01  0.18727047E-06
    2    1   -0.11587735E-03  0.47033560E-05
    3    1    0.37685704E-02 -0.45022152E-05
    4    1    0.16515998E-03 -0.93753673E-05
    1    2   -0.11691198E-03  0.10300270E-04
    2    2   -0.15920548E-02 -0.11425591E-06
