iaver=       1

     time=       1.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.63333E-02 -0.61846E-02 -0.55271E-01 -0.61927E-01 -0.62220E-01 -0.62220E-01 -0.11590E+00
 -0.12683E+00 -0.12683E+00 -0.13243E+00 -0.17835E+00 -0.18343E+00 -0.18485E+00 -0.18485E+00
 -0.22962E+00 -0.23553E+00 -0.23553E+00 -0.24425E+00 -0.27515E+00 -0.27863E+00 -0.27863E+00
 -0.28490E+00 -0.30878E+00 -0.31401E+00 -0.31401E+00 -0.31964E+00 -0.33594E+00 -0.34161E+00
 -0.34161E+00 -0.34754E+00 -0.35878E+00 -0.36058E+00 -0.36135E+00 -0.36135E+00 -0.37187E+00
 -0.37321E+00 -0.37321E+00 -0.37717E+00 -0.37771E+00 -0.38276E+00

     time=       2.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.92943E-02 -0.61846E-02 -0.57276E-01 -0.58115E-01 -0.62220E-01 -0.62220E-01 -0.11631E+00
 -0.12683E+00 -0.12683E+00 -0.12911E+00 -0.17631E+00 -0.18456E+00 -0.18485E+00 -0.18485E+00
 -0.23553E+00 -0.23553E+00 -0.23700E+00 -0.23953E+00 -0.27004E+00 -0.27863E+00 -0.27863E+00
 -0.28857E+00 -0.30944E+00 -0.31401E+00 -0.31401E+00 -0.32067E+00 -0.33658E+00 -0.34161E+00
 -0.34161E+00 -0.34757E+00 -0.35857E+00 -0.36110E+00 -0.36135E+00 -0.36135E+00 -0.37117E+00
 -0.37321E+00 -0.37321E+00 -0.37717E+00 -0.37739E+00 -0.38253E+00

     time=       3.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.11097E-01 -0.61846E-02 -0.52088E-01 -0.61770E-01 -0.62220E-01 -0.62220E-01 -0.11787E+00
 -0.12482E+00 -0.12683E+00 -0.12683E+00 -0.17525E+00 -0.18485E+00 -0.18485E+00 -0.18578E+00
 -0.23301E+00 -0.23553E+00 -0.23553E+00 -0.24296E+00 -0.26681E+00 -0.27863E+00 -0.27863E+00
 -0.29143E+00 -0.31096E+00 -0.31401E+00 -0.31401E+00 -0.32091E+00 -0.33847E+00 -0.34161E+00
 -0.34161E+00 -0.34736E+00 -0.35852E+00 -0.36135E+00 -0.36135E+00 -0.36244E+00 -0.37061E+00
 -0.37321E+00 -0.37321E+00 -0.37703E+00 -0.37717E+00 -0.38241E+00

     time=       4.00(fs). Energy of active surface:-0.62220E-01 RYD
  0.10700E-01 -0.61846E-02 -0.47704E-01 -0.62220E-01 -0.62220E-01 -0.66078E-01 -0.12066E+00
